year,construction_starts,osha_incidents,unemployment_rate
1984,1682,1839,7.27254902
1985,1733,2462,7.064705882
1986,1769,2346,6.91372549
1987,1535,2423,6.190196078
1988,1456,2455,5.445098039
1989,1338,2306,5.119607843
1990,1111,3606,5.398039216
1991,949,4008,6.41372549
1992,1095,3625,6.854901961
1993,1199,3556,6.294117647
1994,1372,3778,5.58627451
1995,1333,3606,5.22745098
1996,1426,3469,5.12745098
1997,1441,3744,4.723529412
1998,1612,3925,4.362745098
1999,1664,4221,4.107843137
2000,1592,4142,3.880392157
2001,1637,4410,4.505882353
2002,1748,4558,5.349019608
2003,1889,4672,5.58627451
2004,2070,4651,5.184313725
2005,2155,4726,4.909803922
2006,1839,4704,4.415686275
2007,1398,4703,4.341176471
2008,905,4259,5.301960784
2009,583,3449,8.456862745
2010,605,3337,8.764705882
2011,624,3513,8.131372549
2012,830,2249,7.329411765
2013,991,,6.758823529
2014,,,5.907843137
