code,state,totals,,,,,
AK,ALASKA,446,,,,,
HI,HAWAII,395,,,,,
SD,SOUTH DAKOTA,0,Low,,,,
DC,DISTRICT OF COLUMBIA,33,,,,,
DE,DELAWARE,125,,,,2064.823529,
RI,RHODE ISLAND,156,,,,5314.699433,
VT,VERMONT,159,,,,1115,
MT,MONTANA,273,,,,,
ME,MAINE,274,,,1,430.5,Low
WY,WYOMING,276,,,2,1115,Med
NM,NEW MEXICO,350,,,3,1803.5,High
NH,NEW HAMPSHIRE,386,,,4,38477,Very high
ID,IDAHO,417,,,,,
ND,NORTH DAKOTA,421,,,,,
WV,WEST VIRGINIA,440,,,,,
NE,NEBRASKA,615,,,,,
MS,MISSISSIPPI,690,,,,,
AR,ARKANSAS,722,,,,,
OK,OKLAHOMA,768,,,,,
CO,COLORADO,848,,,,,
MO,MISSOURI,879,,,,,
MN,MINNESOTA,885,,,,,
KY,KENTUCKY,1029,,,,,
NV,NEVADA,1042,,,,,
CT,CONNECTICUT,1065,,,,,
AL,ALABAMA,1115,,,,,
WI,WISCONSIN,1167,,,,,
LA,LOUISIANA,1257,,,,,
TN,TENNESSEE,1268,,,,,
AZ,ARIZONA,1307,,,,,
KS,KANSAS,1396,,,,,
MI,MICHIGAN,1485,,,,,
MA,MASSACHUSETTS,1491,,,,,
UT,UTAH,1580,,,,,
SC,SOUTH CAROLINA,1591,,,,,
IN,INDIANA,1724,,,,,
NJ,NEW JERSEY,1754,,,,,
IA,IOWA,1779,,,,,
GA,GEORGIA,1828,,,,,
PA,PENNSYLVANIA,1961,,,,,
WA,WASHINGTON,2173,,,,,
VA,VIRGINIA,2402,,,,,
IL,ILLINOIS,2553,,,,,
OH,OHIO,2630,,,,,
NC,NORTH CAROLINA,2833,,,,,
NY,NEW YORK,2928,,,,,
FL,FLORIDA,3225,,,,,
MD,MARYLAND,3908,,,,,
OR,OREGON,4052,,,,,
TX,TEXAS,4728,,,,,
CA,CALIFORNIA,38477,,,,,
